objectid,filename,youtubeid,title,creator,autor,date,description,subject,location,tecnica,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,,,
demo_251-29,demo_251-29.gif,,Rosas de sangre,Luis Ángel Rengifo ,María Fernanda León Vásquez,1950,"Este gif de Antonia Santos ilustra el momento exacto en el cual ella esta a punto de ser fusilada y le entrega su anillo de oro y esmeralda a un soldado a cambio de una promesa, que ningún disparo llegue a su rostro y que le apunten directamente al corazon. En mi gif trato de representra el momento en el que la bala llega a su corazón y de el salen rosas en respresantacion de la sangre derramada por esta heroina de la patria.",independencias;acción de independencia;actores diversos;siglo xx,"Almaguer, Colombia ",óleo,1.91306,-74.0751,Museo de la Independencia - Casa del Florero,Registro 3330,Image;MovingImage,image/gif,N/A,"León Vásquez, M. (2025). Rosas de sangre [gif]. MUSEOGIF. Recuperado de: https://cdigitaljaveriana.github.io/museogif/item.html?id=demo_251-29",https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3441,,,
demo_251-31,demo_251-31.gif,,Librada no tan santa ,Escuela Quiteña,Ana Sofía Monroy Linares,1750,"Este gif narra la leyenda de Santa Librada, una tradición oral que nos cuenta la determinación y valentía con la que se defienden las ideas que vienen de lo más profundo del ser humano. La ""santa"" estaba obligada a casarse por iniciativa de su padre, con un hombre el cual ella no amaba. Aunque este fuera un caso común en la época, según la leyenda, ella oró con tanto fervor que se le concedió el milagro de tener barba, un factor que afectaría significativamente la boda, y motivo por el cual el padre la mandó a crucificar. Es así cómo años después, a través de los europeos que llegaron al nuevo continente, específicamente por el río Magdalena, se expandió la leyenda, tanto así que fue una motivación para los ciudadanos de Mompox, quienes vieron en ella lo que se necesitaba para lograr su independencia.",independencias;movimientos sociales;actores diversos;procesos culturales;exclusiones;siglo xviii,"Quito, Ecuador",madera tallada,-0.180653,-78.467834,Museo de la Independencia - Casa del Florero,Nº de registro: 157,Image;MovingImage,image/gif,N/A,"Monroy Linares, A. (2025). Librada no tan santa [gif]. MUSEOGIF. Recuperado de: https://cdigitaljaveriana.github.io/museogif/item.html?id=demo_251-31",https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3442,,,
,,,,,,,,,,,,,,,,,N/A,,,,,
demo_24-1,GIF-PARCIAL2.gif,,Taller de bordado - Conmemoración de los 33 años de la toma y retoma del Palacio de Justicia,Julia Figueroa; Diana Ospina; Camila Gaitán; María Inés Castiblanco; Juliána Portilla; María Fernanda Narváez; Stephany Beltrán; Sara Girardo Beltrán; Fanny Beltrán; Rosa Milena Cárdenas,Valentina Giannini,2018,"Bordado en conmemoración de los 33 años de la toma y retoma del Palacio de Justicia. Hecho por MICF, Fulanas Colectivo, Manos que bordan y familiares, amaigos y conocidos de las víctimas. ",construcción de memoria;reconocimiento de víctimas;divulgación de la verdad;no repetición;violencia;siglo xxi,"Bogotá, Colombia",bordado textil,4.59806,-74.0758,Museo de la Independencia - Casa del Florero,sin datos,Image;MovingImage,image/gif,N/A,"Giannini, V. (2024). Taller de bordado - Conmemoración de los 33 años de la toma y retoma del Palacio de Justicia [gif]. MUSEOGIF. Recuperado de: https://cdigitaljaveriana.github.io/museogif/item.html?id=demo_24-1",https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3442,,,
demo_24-2,Policarpa.GIF,,Salida de Policarpa Salavarrieta hacia el patíbulo,Pedro Alcántara Quijano,Valentina Triana,1944,"Policarpa Salavarrieta constituye el ícono del sacrificio femenino en la Independencia colombiana. Su agraciada juventud, su trabajo de costurera, su compromiso con la causa revolucionaria y la valentía mostrada en el momento de su fusilamiento la convirtieron en una de las figuras más atractivas del imaginario republicano y de la historia nacional.",proceso independentista;contexto neogranadino;construcción de nación;identidad nacional;actores diversos;siglo xx,"Bogotá, Colombia",óleo,4.59806,-74.0758,Museo de la Independencia - Casa del Florero,Reg. 22,Image;MovingImage,image/gif,N/A,"Triana, V.A. (2024). Policarpa [gif]. MUSEOGIF.Recuperado de: https://cdigitaljaveriana.github.io/museogif/",https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3443,,,
demo_24-3,Las_verdaderas_libertadoras1.gif,,Las verdaderas libertadoras,Pedro Alcántara Quijano;Luis Ángel Rengifo;Luis Antonio Cano,Valentina Delgado,1865;1950,Las verdaderas libertadoras,proceso independentista;contexto neogranadino;construcción de nación;identidad nacional;actores diversos;siglo xx;siglo xix,"Bogotá, Colombia",óleo,4.59806,-74.0758,Museo de la Independencia - Casa del Florero,sin datos,Image;MovingImage,image/gif,N/A,"Delgado,L.V. (2023).Las verdaderas libertadoras [gif]. MUSEOGIF. Recuperado de: https://cdigitaljaveriana.github.io/museogif/",https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3444,,,
demo_24-8,La_eterna_reyerta.gif,,La eterna reyerta ,Adrián Prada;Pedro Alcántara Quijano;Luis Ángel Rengifo;Luis Cancino,Mariana Agudelo,1940 ;1975;2017,"Distintas representaciones sobre el momento decicivo de la independencia colombiana: la pelea entre José Gonzáles Llorente y Pantaleón Sanz de Santamaría ante la negativa de Llorente de prestar un florero a los hermanos De Rubio para la llegada de Antonio Villavicencio. Muestra cómo la esquina nororiental de la plaza Mayor, actual plaza de Bolívar, es un espacio representativo del momento en el que la historia de Colombia tomó otro rumbo y se embarcó en una ""eterna reyerta"" para consolidar el país que hoy conocemos. ",contexto neogranadino;construcción de nación;identidad nacional;siglo xx;siglo xxi,"Bogotá, Colombia",óleo;tinta,4.59806,-74.0758,Museo de la Independencia - Casa del Florero,"Reg. 518, Reg. 27, Reg. 4263",Image;MovingImage,image/gif,N/A,Agudelo M. (2024). La eterna reyerta. [gif]. MUSEOGIF. Recuperado de:https://cdigitaljaveriana.github.io/museogif/item.html?id=demo_24-8,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3445,,,
demo_24-11,Acto de Memoria.gif ,,Acto de memoria ,Doris Salcedo,Valeria Ramirez,2002,"Imagen del ""acto de memoria"" que evoca la ausencia y la fragilidad de quienes se encontraban en la Toma del Palacio de Justicia en el año de 1985. A través de un gif que materializa de manera ilustrada en forma de cascada la caida de 280 sillas que al caer se inmortalizan en una fotografía. ",construcción de memoria;reconocimiento de víctimas;violencia;siglo xxi,"Bogotá, Colombia",madera ensamblada,4.59806,-74.0758,Museo de la Independencia - Casa del Florero,sin datos,Image;MovingImage,image/gif,N/A,Ramirez V. (2024). Acto de memoria [gif]. MUSEOGIF. Recuperado de: https://cdigitaljaveriana.github.io/museogif/item.html?id=demo_24-11,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3446,,,
demo_24-13,Sillas.gif,,Sillas Acto de Memoria,Doris Salcedo,Lina maría Muñoz,2002,La digitalización muestra el momento en que comenzó el trágico evento de la toma del Palacio de Justicia.,construcción de memoria;reconocimiento de víctimas;violencia,"Bogotá, Colombia",madera ensamblada,4.59806,-74.0758,Museo de la Independencia - Casa del Florero,sin datos,Image;MovingImage,image/gif,N/A,"Muñoz Pino, L.M. (2024). Sillas Acto de Memoria [gif]. MUSEOGIF. Recuperado de: https://cdigitaljaveriana.github.io/museogif/item.html?id=demo_24-13",https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3447,,,
demo_24-15,ReyertaDe.gif,,Cuadro de la Reyerta del 20 de julio,Pedro Alcántara Quijano,Maria Camila Obando,1940,"La escena se desarrolla en la Plaza Mayor de Santafé, actual Plaza de Bolívar. En el centro del cuadro, se observa a un grupo de criollos y españoles enfrentados. En primer plano, se destaca la figura de Antonio Morales, quien abofetea al comerciante español José González Llorente por negarse a prestar un florero para la celebración de la llegada del comisionado regio Antonio Villavicencio. Este hecho, conocido como el ""florero de Llorente"", fue el detonante que desencadenó la reyerta y el posterior movimiento independentista.",contexto neogranadino;construcción de nación;identidad nacional;siglo xx,"Bogotá, Colombia",óleo,4.59806,-74.0758,Museo de la Independencia - Casa del Florero,27,Image;MovingImage,image/gif,N/A,"Obando, M.C. (2024). Cuadro de la Reyerta del 20 de julio [gif]. MUSEOGIF. Recuperado de: https://cdigitaljaveriana.github.io/museogif/item.html?id=demo_24-15",https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3448,,,
,,,,,,,,,,,,,,,,,,,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3449,,,
demo_24-2-1,Castas del siglo XXI.gif,,Castas del siglo 21,Anónimo,Juanita Alejandra Acosta Godoy,,"Las castas, en su origen, representaban las diversas mezclas raciales que se podían observar en una población. Este GIF simboliza la diversidad sexual que existe en la actualidad, trazando un paralelismo con el concepto de castas, pero aplicado a las interacciónes y combinaciones de razas, culturas, identidades, y más. Cada mezcla actual refleja la riqueza de nuestra diversidad, dándole nuevos nombres y significados a las dinámicas humanas, tal como se hacía en el pasado con las castas.",contexto neogranadino;identidad nacional;procesos migratorios;actores diversos;exclusiones;identidad colectiva;siglo xviii,"Tepotzotlán, México",óleo,19.71345858,-99.22179882,Museo de la Independencia - Casa del Florero,sin datos,Image;MovingImage,image/gif,Español,"
Acosta Godoy, J. (2024) Castas del siglo XXI [gif]. MUSEOGIF. Recuperado de: https://cdigitaljaveriana.github.io/museogif/item.html?id=demo_24-2-1",https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3450,,,
demo_24-2-3,Las_verdaderas_libertadoras.gif,,Juramento del acta - Las verdaderas libertadoras,Inés Acevedo Biester,Loraine Cavelier Forero,,"El momento que se firma el acta de independencia es histórico, ¿pero quién más estuvo detrás? Mercedes Abrego,  Maria Concepción Lopereba, Manuela Sáenz, Melchora Nieto, Policarpa Salavarrieta, y Catalina Tejada fueron solo unas de las mujeres que nos ayudaron a pelear por nuestra independencia. ",experiencias políticas;identidad nacional;contexto neogranadino;acción de independencia;exclusiones;siglo XX,"París, Francia",óleo,48.864716,2.349014,Museo de la Independencia - Casa del Florero,Reg. 75,Image;MovingImage,image/gif,N/A,"Cavelier Forero, L. (2024).Juramento del acta - Las verdaderas libertadoras [gif]. MUSEOGIF. Recuperado de: https://cdigitaljaveriana.github.io/museogif/item.html?id=demo_24-2-3",https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3451,,,
demo_24-2-4,Nuevo_Florero.gif,,La reconstrucción contemporánea del florero,Fábrica del Buen Retiro,Juan Diego González Jiménez,1780,"El gif muestra una reinterpretación contemporánea de los símbolos del Florero de Llorente, reemplazando los emblemas históricos con iconografía tecnológica para hacer una crítica sobre el poder moderno. La corona, que simbolizaba la autoridad monárquica, se transforma en el logotipo de una gran corporación tecnológica, en este caso Google, reflejando cómo hoy las empresas dominan nuestras vidas. Las flores de lis, que representaban a los Borbones, ahora son códigos QR, simbolizando el control de la identidad y los datos en la era digital. Los reinos de Castilla y León, que antes simbolizaban la expansión territorial y militar, se transforman en redes de servidores y satélites, reflejando cómo el dominio actual es sobre la infraestructura de telecomunicaciones y la vigilancia con drones. Granada, que evocaba la mezcla cultural, se reemplaza con unas gafas de realidad virtual, representando la creación de nuevas realidades a través de la tecnología.",identidad nacional;contexto neogranadino;proceso independentista;ciudadanía digital;siglo xviii,España,cerámica,40.463667,-3.74922,Museo de la Independencia - Casa del Florero,Sin datos,Image;MovingImage,image/gif,N/A,"González Jimenez, J. (2024).La recontrucción contemporánea del florero - Nuevo Florero [gif]. MUSEOGIF. Recuperado de: https://cdigitaljaveriana.github.io/museogif/item.html?id=demo_24-2-4",https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3452,,,
demo_24-2-12,HashtagRevolucionb.gif,,Twitter a través de la Independencia,Pedro Alcántara Quijano;Fábrica del Buen Retiro,Carlos Enrique Rosales Palomeque,1940;1780,"Este GIF imagina cómo hubiera sido la conversación en Twitter durante el ""Acto del Florero de Llorente"", el evento clave que detonó la lucha por la independencia de Colombia en 1810. Muestra un hilo de tuits sarcásticos, memes y comentarios virales que capturan la indignación y los debates de la época. Los personajes históricos interactúan como si fueran usuarios de redes sociales modernas, con hashtags como #LlorenteCancelado y #LibertadYa, mientras el florero se convierte en trending topic.",contexto neogranadino;proceso independentista;experiencias políticas;acción de independencia;ciudadanía digital;siglo xx,"Bogotá, Colombia",óleo;cerámica,4.59806,-74.0758,Museo de la Independencia - Casa del Florero,,Image;MovingImage,image/gif,Español,"Rosales Palomeque, C. (2024). Twitter a través de la Independencia. [gif]. MUSEOGIF. Recuperado de:  https://cdigitaljaveriana.github.io/museogif/item.html?id=demo_24-2-12",https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3453,,,
demo_24-2-15,Una_Leyenda.gif,,Fusilamiento de Antonia Santos,Luis Ángel Rengifo,Daniela Torres Gómez,1950,"El gif se basa en los hechos que elevaron a Antonia Santos a la altura de una leyenda. La leyenda dice que, al momento de ser conducida al cadalso, Antonia Santos le regaló el anillo que llevaba puesto al comandante del pelotón de fusilamiento para que los soldados le apuntaran al corazón, es por ello que se muestra el intercambio del anillo con una bala como respresentación de esto. La mujer es el centro de composición y se muestra altiva ante la inminencia de su muerte. Durante el siglo XIX se convierte a Antonia Santos en una imágen romántica, por tal motivo se hace la representación de las flores en el pecho al final. La fabricación de esta leyenda comienza a ser llamada ""patriótica con pinceles románticos"".",contexto neogranadino;identidad nacional;actores diversos;siglo xx,"Almaguer, Colombia",óleo,4.59806,-74.0758,Museo de la Independencia - Casa del Florero,Sin datos,Image;MovingImage,image/gif,N/A,"Torres Gómez, D. (2024).Fusilamiento de Antonia Santos - La Leyenda [gif]. MUSEOGIF. Recuperado de: https://cdigitaljaveriana.github.io/museogif/item.html?id=demo_24-2-15",https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3454,,,
